Gene,Expression levels in AD samples (TPM),,,,,,,,,,,Expression levels in non-AD samples (TPM),,,,,,,,,,,,log2FoldChange,"Average abundance
log2(CPM)",Likelyhood ratio,P value,padj,Chromosome No,Location,
AACS,15.920736,3.211015,7.234741,5.945755,3.687795,5.709424,9.556796,1.493437,6.594962375,4.52431147690039,,12.966527,32.28163,32.012722,54.546913,13.701055,10.563449,15.888057,13.987914,8.460286,9.142397,20.355095,14.7936658340653,-1.17191440308163,4.72048218788373,18.5203049979783,1.68103847440068e-05,0.0060634094119004,chr12,125549925,125627873
AAK1,10.663195,3.653014,4.128694,2.702383,6.577046,7.157709,13.187867,0.721762,6.09895875,4.18756582638348,,13.613435,18.706738,23.581749,37.607825,13.487199,13.629508,14.347923,11.222772,9.418682,16.61378,17.2229611,8.18957293133887,-1.20569304691006,6.31037881049661,12.5600443080739,0.000394082404782718,0.0272105282000626,chr2,69688532,69901481
ABCA2,70.209327,119.894682,236.474347,172.970057,100.779618,51.602071,69.048147,27.874497,106.10659325,69.1147162861631,,37.285334,102.880319,64.445241,56.487198,36.967537,96.432318,85.137503,77.491512,64.835709,21.527672,64.3490343,26.8675683474411,1.02016156880278,8.60840284901716,11.116908937189,0.000855442340453633,0.0410184964416162,chr9,139901686,139923367
ABCA6,1.244749,3.214729,2.643825,5.809109,2.952848,0.585783,3.196223,0.247962,2.4869035,1.79211400019307,,2.547876,1.452475,1.83818,0.931567,0.179619,0.849456,0.99443,1.199572,0.977057,0.692604,1.1662836,0.655061264297419,1.43609113498202,2.07149525314352,14.1368789565285,0.000169978493832555,0.0171887716557925,chr17,67074843,67138029
ABCA8,17.000405,26.182248,78.332403,19.828826,12.452482,3.286715,9.251294,5.806625,21.51762475,24.1565617224458,,7.376701,17.433677,10.848204,6.36977,3.028257,15.409363,10.411924,9.27838,12.042487,3.177272,9.5376035,4.75136660887359,1.48204388105732,5.2875733312212,14.990698024728,0.000108042438715038,0.013789055891126,chr17,66863433,66951533
ABI3BP,4.003833,4.007509,7.060086,7.217737,9.937177,0.68199,6.267547,0.743836,4.989964375,3.24876740531623,,1.317212,2.291475,9.445777,1.908371,0.800734,0.835996,1.585679,4.02708,0.857965,0.545362,2.3615651,2.69126013526586,1.27725812522287,3.42822331408492,11.5787241915267,0.000667106953641263,0.0353391952083733,chr3,100468000,100712359
AC005253.2,5.350932,1.284204,3.906126,15.054516,1.738138,0.820383,1.330834,0.504159,3.7486615,4.86206406166711,,1.441213,1.931312,3.274601,3.087929,0.479183,1.041245,1.397164,0.809088,1.191376,0.245356,1.4898467,1.01483555034586,1.54916464175302,1.4990739905327,14.6923661916512,0.000126557912544963,0.0146262204683852,chr19,18668585,18672370
AC010136.2,0.907135,0.315898,0.0,0.942888,0.0,0.0,0.282997,0.0,0.30611475,0.403937869310456,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.8663523880397,-3.65894856378425,19.9441015543069,7.9739573754623e-06,0.00434189646360629,chr2,218843430,218857338
AC011288.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.25178,0.274853,0.0,2.263554,0.514329,0.71099,0.0,0.0,0.0,1.046469,0.5061975,0.712226043172976,-6.52294353676846,-2.98712608164582,19.612787901462,9.48323487440557e-06,0.00483807304236678,chr7,13141016,13743774
AC011524.1,0.155091,0.043083,0.439144,0.355668,0.516419,0.0,0.404082,0.0,0.239185875,0.212988371922331,,0,0.0,0.155016,0.0,0.0,0.0,0.0,0.0,0.071361,0.0,0.0226377,0.0516373012937353,3.21027325102166,-3.80827408909914,10.7653589486132,0.00103417505914503,0.0459850705033545,chr19,29374337,29444152
AC011891.5,4.559948,0.664294,2.334936,5.707552,0.405263,0.38026,2.16602,0.315879,2.066769,2.07675823590731,,0.730031,1.016221,0.313815,0.157971,0.0,1.504464,0.564216,0.303207,0.716714,0.0,0.5306639,0.478470757243313,2.02699229377094,-1.53822861007504,11.640263791479,0.000645394496954272,0.0347349113855523,chr7,12693804,12694610
AC012354.6,0,0.261743,0.191149,0.060617,0.743591,0.0,0.215965,0.0,0.184133125,0.249871439420605,,0,0.0,0.060488,0.0,0.0,0.076686,0.0,0.0,0.0,0.0,0.0137174,0.0291697524318143,4.11027939889125,-2.27341984703687,11.2938916824789,0.000777625084710982,0.0390365786078343,chr2,45181803,45195901
AC015849.16,0.040024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005003,0.0141506209051052,,0.039646,0.084306,0.120188,0.02227,0.043382,0.04437,0.190764,0.031494,0.27141,0.035858,0.0883688,0.0828067508530823,-3.04554736045957,-3.54841089467957,16.1639773933742,5.80883288527342e-05,0.0103769210555252,chr17,34220711,34238027
AC015849.16,0.040024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005003,0.0141506209051052,,0.039646,0.084306,0.120188,0.02227,0.043382,0.04437,0.190764,0.031494,0.27141,0.035858,0.0883688,0.0828067508530823,-3.04554736045957,-3.54841089467957,16.1639773933742,5.80883288527342e-05,0.0103769210555252,KB021646.2,185875,203191
AC016716.1,0.018205,0.038944,0.0,0.0,0.078635,0.0,0.044831,0.064673,0.030661,0.0309450215428219,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.11577166364861,-4.62031504332273,12.4120376786854,0.000426575148063743,0.028250796939285,chr2,80389554,80390261
AC017099.3,11.308655,8.309064,24.947607,21.185062,7.035326,3.80059,8.896861,3.248754,11.091489875,7.90655986902925,,4.957526,9.088812,8.946427,9.351119,1.690998,7.271268,6.042346,4.58271,7.601193,1.61881,6.1151209,2.87439237144778,1.07690311220837,2.20789311532758,15.9815899511594,6.39614609522315e-05,0.0108770978146064,chr2,98280680,98319527
AC020922.1,3.836821,2.811007,4.654465,4.9369,3.26324,1.548373,1.733141,1.235642,3.002448625,1.42022045285602,,1.418819,2.202727,1.587777,1.62131,0.562006,1.464977,2.439914,3.111478,1.477938,0.890118,1.6777064,0.740933545927208,1.22493464796616,0.469382471953074,13.9887135995162,0.000183911294418753,0.0180080147921542,chr19,55851254,55856561
AC036108.1,22.167377,11.644617,15.604525,38.892712,10.917683,5.142557,7.334897,4.116428,14.4775995,11.4811288963033,,6.593332,11.8114,10.552592,11.884938,5.035223,11.902495,6.919338,6.507627,7.222417,5.076953,8.3506315,2.85672201457145,1.08341075916058,5.46494615195365,24.4739922130005,7.531970704817e-07,0.00126689806309549,JH720445.1,20276,50761
AC062028.1,2.70806,0.266254,0.462767,0.270426,0.426757,0.710927,0.490967,0.183713,0.689983875,0.831992401204729,,2.12202,2.779288,8.887537,9.833008,3.180894,0.373074,1.699683,2.261902,1.980078,1.450006,3.456749,3.20933109203446,-1.6580422517573,0.492951636118571,11.6156928809323,0.000653976705383368,0.0350593743885453,chr2,11239977,11272947
AC066593.1,7.852475,3.193046,3.516232,1.248413,5.804809,6.025606,7.51401,0.749276,4.487983375,2.71684866511384,,13.030285,15.799532,15.850078,17.873453,12.131981,5.953722,16.304116,8.331404,13.317835,12.862355,13.1454761,3.69288474135505,-1.19078861357298,2.07841169801202,11.2695842482382,0.000787873721891734,0.0391716426663802,chr2,115888512,115918920
AC068718.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.250994,0.0,0.0,0.044961,0.554016,0.0,0.071413,0.0,0.176224,0.513628,0.1611236,0.214038807533276,-5.4595666528929,-3.76722520244092,13.1032954008984,0.000294776776278096,0.0232491839329419,chr2,188577543,189152418
AC069547.2,0.030903,0.01497,0.026948,0.05545,0.0,0.0,0.023733,0.0,0.0190005,0.0194756140559712,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.71069890863331,-4.67953645069534,13.6682862856632,0.000218106898155912,0.0197303123573022,chr10,52152766,52154321
AC074212.6,1.886188,1.648376,1.708686,5.09088,1.194825,0.736362,1.624689,0.65131,1.8176645,1.39969060824802,,0.915959,1.16831,1.25501,1.25114,0.459842,1.19427,1.160205,1.018778,1.082452,0.396747,0.9902713,0.314251904781658,1.20816203933413,-1.02020605599151,12.3743598826204,0.000435270006417384,0.0285288254553357,chr19,46271054,46275762
AC079779.6,0,0.075762,0.0,0.0,0.0,0.0,0.0,0.0,0.00947025,0.0267859119781276,,0.174136,0.155668,0.622039,1.099835,0.507517,0.125246,0.0,0.157141,0.4523,0.417809,0.3711691,0.324987763818356,-3.85100243259819,-2.83768777896799,17.1511796468011,3.45194967037825e-05,0.00821346461696849,chr2,317912,342118
AC090953.1,0.680139,0.489206,0.926335,4.617914,0.766351,0.69615,0.35963,0.021686,1.069676375,1.4605869726493,,0.234981,0.046549,0.589601,0.074063,0.085555,0.149549,0.258618,0.44015,0.215635,0.043729,0.213843,0.180098674483986,2.36329480399557,-2.14142698318791,17.3246190952837,3.1507831244769e-05,0.00785061388987029,chr3,16269421,16269957
AC091633.3,0.121055,0.174308,0.068746,0.170915,0.304476,0.0,0.304439,0.0,0.142992375,0.119993884642912,,0.441408,0.468078,1.308007,1.140461,0.827751,0.510018,0.747084,0.600193,0.503244,0.405473,0.6951717,0.311653976961648,-1.74535440627909,-2.24501895371015,15.9511956901062,6.49967100317711e-05,0.0109648538746078,chr3,195270871,195277400
AC091729.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.082258,0.109131,0.26532,0.136291,0.088477,0.147262,0.045279,0.198758,0.180882,0.1253658,0.0776513283935883,-4.11660798513251,-4.40791839133396,16.2424092826851,5.57324373318162e-05,0.0102710837615996,chr7,1120499,1121814
AC091878.1,1.100242,0.229189,0.152611,0.368048,0.269427,0.31017,0.599593,0.091719,0.390124875,0.325346109550797,,0.891471,1.169108,1.746868,1.83682,1.190453,0.306409,1.014471,0.84389,1.09832,0.89322,1.099103,0.44262234824208,-1.20443982480005,0.503253905318319,10.4878352790887,0.00120163075797902,0.0496881117672693,chr5,17130137,17217156
AC096669.3,0.509299,0.040774,0.0,0.0,0.191341,0.0,0.132865,0.0,0.109284875,0.177187151159798,,0.950685,0.224658,3.531989,0.742513,0.727122,0.324432,1.401866,0.519315,0.926304,0.698064,1.0046948,0.948720773299476,-2.9521256600185,-0.860408761470645,18.0644649621904,2.13550005564482e-05,0.00687109276426764,chr2,108145943,108172782
